Label,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,OBox.Elongation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,GeodesicElongation,AverageThickness
1,2474,465.364,0.144,1,2618,2685,75,162,2652.094,118.842,2652.094,118.842,53.855,37.568,83.803,1.434,5018,0.493,89.157,66.886,2651.500,118.500,87.000,67.000,90.000,1.299,190.414,2.136,2668,84,6,15.868,9.878
2,833,202.717,0.255,1,2327,2376,76,120,2355.435,94.621,2355.435,94.621,28.801,22.596,35.442,1.275,1582,0.527,49.497,8.130,2353.547,95.686,45.581,43.208,49.185,1.055,82.414,1.665,2360,114,6,6.868,7.682
3,915,178.925,0.359,1,2822,2833,76,160,2827.462,118.276,2827.462,118.276,48.163,6.303,89.906,7.641,921,0.993,84.593,96.789,2827.500,118.000,84.000,11.000,90.000,7.636,86.214,1.019,2827,88,6,7.185,10.632
4,899,216.736,0.240,1,2436,2476,98,160,2463.034,123.268,2463.034,123.268,38.226,19.006,66.782,2.011,1837,0.489,66.310,66.915,2456.000,129.000,62.000,40.000,90.000,1.550,92.814,1.400,2465,105,6,7.735,7.957
5,819,190.936,0.282,1,2499,2538,98,160,2525.311,123.364,2525.311,123.364,39.412,15.681,68.552,2.513,1633,0.502,66.708,66.125,2526.799,127.049,66.358,35.625,56.929,1.863,82.214,1.232,2526,105,6,6.851,7.943
6,917,195.514,0.301,1,2534,2574,98,161,2561.442,123.583,2561.442,123.583,39.108,16.258,69.542,2.405,1688,0.543,67.119,65.344,2562.853,126.962,66.345,36.666,56.634,1.809,83.414,1.243,2562,105,6,6.951,9.203
7,1392,294.921,0.201,1,2695,2748,98,162,2719.251,129.965,2719.251,129.965,40.584,31.133,88.604,1.304,2826,0.493,65.000,104.250,2721.383,129.947,64.183,52.500,87.797,1.223,120.814,1.859,2701,121,6,10.068,8.894
8,1046,221.639,0.268,1,2755,2810,98,160,2790.727,121.297,2790.727,121.297,41.990,21.421,53.942,1.960,2136,0.490,74.411,48.814,2793.250,124.250,74.246,42.426,45.000,1.750,95.014,1.277,2800,125,7,6.787,9.088
9,2264,286.511,0.347,1,2845,2901,98,162,2871.971,126.925,2871.971,126.925,34.223,29.954,-85.357,1.142,2958,0.765,65.000,75.750,2873.000,130.000,64.000,56.000,90.000,1.143,106.014,1.631,2870,114,17,3.118,14.268
10,586,134.204,0.409,1,2490,2502,99,160,2495.838,130.333,2495.838,130.333,34.670,5.656,89.305,6.130,657,0.892,61.522,82.528,2496.336,129.494,61.129,11.722,89.012,5.215,62.814,1.021,2497,112,7,4.487,8.135
11,873,203.733,0.264,1,2326,2381,115,161,2358.562,142.554,2358.562,142.554,34.930,20.790,-30.949,1.680,1746,0.500,55.579,171.724,2356.796,141.279,55.155,39.230,145.408,1.406,82.014,1.476,2373,128,6,6.835,7.864
12,868,200.131,0.272,1,2754,2797,122,162,2774.115,142.573,2774.115,142.573,25.759,22.379,-36.807,1.151,1422,0.610,51.614,144.462,2776.827,143.135,47.460,37.458,168.690,1.267,79.214,1.535,2762,135,6,6.601,8.078
13,1024,172.435,0.433,1,254,288,165,236,272.793,197.697,272.793,197.697,41.026,8.278,70.923,4.956,1093,0.937,78.294,65.072,273.717,199.365,77.935,16.419,70.560,4.747,77.814,0.994,286,226,10,3.891,12.202
14,998,171.650,0.426,1,287,320,165,236,301.845,197.761,301.845,197.761,41.385,7.994,-71.222,5.177,1050,0.950,78.294,114.928,301.250,199.750,77.792,16.128,108.435,4.824,77.814,0.994,287,226,10,3.891,11.810
15,1164,202.201,0.358,1,385,446,165,236,415.166,200.219,415.166,200.219,49.797,7.981,55.460,6.239,1293,0.900,93.606,49.332,415.406,200.562,92.807,16.353,56.821,5.675,93.414,0.998,414,194,10,4.671,10.388
16,526,98.812,0.677,1,414,445,165,199,428.183,180.150,428.183,180.150,20.988,8.377,-54.599,2.506,550,0.956,41.400,127.147,428.499,178.884,41.301,16.224,123.179,2.546,41.414,1.000,416,193,9,2.301,11.021
17,1089,179.234,0.426,1,486,512,165,237,496.729,199.570,496.729,199.570,40.942,11.641,-87.138,3.517,1536,0.709,72.691,97.907,497.867,200.519,72.426,25.123,93.013,2.883,76.414,1.051,495,181,8,4.776,12.324
18,1051,174.887,0.432,1,507,532,165,238,521.530,202.430,521.530,202.430,40.105,10.998,-87.828,3.647,1416,0.742,73.437,96.254,520.889,202.128,73.360,23.682,93.633,3.098,76.414,1.041,523,185,8,4.776,11.375
19,1239,196.720,0.402,1,545,577,165,236,566.632,196.958,566.632,196.958,38.603,14.673,83.978,2.631,1687,0.734,72.007,99.593,561.000,200.500,71.000,32.000,90.000,2.219,73.414,1.020,567,178,10,3.671,12.880
20,1342,216.427,0.360,1,328,372,166,236,340.374,207.342,340.374,207.342,44.651,17.890,73.855,2.496,2178,0.616,82.152,58.438,338.469,206.244,81.682,42.743,64.573,1.911,92.214,1.122,335,173,8,5.763,13.136
21,379,76.860,0.806,1,454,481,203,218,467.521,210.943,467.521,210.943,15.587,8.115,-0.825,1.921,390,0.972,30.414,152.592,467.500,210.500,27.000,15.000,0.000,1.800,30.014,0.987,460,210,7,2.144,12.875
22,375,74.964,0.839,1,598,625,204,218,611.535,210.983,611.535,210.983,15.477,8.031,-0.294,1.927,375,1.000,29.967,154.290,611.500,211.000,27.000,14.000,0.000,1.929,29.814,0.995,604,210,7,2.130,13.000
23,2912,219.743,0.758,1,199,246,345,427,218.756,389.439,218.756,389.439,43.880,22.363,80.125,1.962,2984,0.976,85.000,64.942,221.859,385.486,82.574,46.603,87.709,1.772,85.614,1.007,221,399,22,1.946,31.108
24,3596,251.461,0.715,1,318,372,345,435,343.873,386.858,343.873,386.858,48.497,24.781,89.647,1.957,3955,0.909,93.005,106.876,342.849,388.676,91.319,52.054,94.289,1.754,94.614,1.017,339,374,22,2.150,29.586
25,7754,406.966,0.588,1,484,563,345,514,525.100,425.250,525.100,425.250,80.590,32.579,80.567,2.474,8330,0.931,170.696,81.917,530.046,427.650,170.081,66.003,77.053,2.577,172.814,1.012,525,409,31,2.787,38.141
26,4941,359.254,0.481,1,801,932,345,401,864.072,366.714,864.072,366.714,66.622,26.831,-5.613,2.483,5706,0.866,135.558,158.356,866.500,373.000,131.000,56.000,0.000,2.339,136.214,1.005,842,369,25,2.724,25.556
27,22989,601.560,0.798,1,937,1079,345,567,1000.065,435.867,1000.065,435.867,114.453,68.108,-76.142,1.680,23373,0.984,236.783,111.038,1000.000,453.500,231.224,141.563,98.130,1.633,238.414,1.007,1004,412,68,1.753,86.898
28,26971,688.995,0.714,1,1076,1275,345,566,1183.173,431.756,1183.173,431.756,117.013,81.433,69.443,1.437,28456,0.948,249.359,59.115,1195.734,425.107,249.015,162.840,62.124,1.529,244.414,0.980,1187,415,71,1.721,78.473
29,2114,177.243,0.846,1,1252,1310,345,396,1283.822,367.362,1283.822,367.362,29.035,24.456,42.858,1.187,2205,0.959,66.573,32.735,1284.905,363.893,57.841,49.543,68.459,1.167,66.414,0.998,1286,367,23,1.444,23.542
30,2936,256.824,0.559,1,1331,1445,345,388,1389.137,360.753,1389.137,360.753,51.152,21.435,3.553,2.386,3109,0.944,114.070,177.990,1388.000,366.500,114.000,43.000,0.000,2.651,114.414,1.003,1394,365,21,2.724,19.771
31,15811,566.128,0.620,1,1441,1615,345,512,1514.546,416.412,1514.546,416.412,109.152,52.997,-50.419,2.060,18389,0.860,212.050,139.399,1514.612,410.087,210.801,115.979,130.786,1.818,211.614,0.998,1493,444,43,2.461,56.688
32,2245,263.258,0.407,1,2321,2442,345,379,2371.110,357.464,2371.110,357.464,55.587,15.248,-5.318,3.645,2435,0.922,121.037,178.580,2381.672,361.962,121.027,33.343,179.318,3.630,121.814,1.006,2351,361,16,3.807,14.961
33,381,75.138,0.848,1,676,702,346,368,689.563,357.098,689.563,357.098,12.803,9.722,-38.721,1.317,405,0.941,26.173,173.418,689.750,356.750,25.456,20.506,135.000,1.241,26.014,0.994,687,359,9,1.445,12.259
34,399,75.464,0.880,1,2051,2077,346,367,2063.031,355.302,2063.031,355.302,12.883,10.251,-21.312,1.257,419,0.952,26.926,158.199,2064.000,356.500,26.000,21.000,0.000,1.238,27.614,1.026,2061,355,10,1.381,12.879
35,893,200.131,0.280,2,2264,2323,346,383,2293.128,358.742,2293.128,358.742,34.727,12.241,11.288,2.837,1560,0.572,62.426,35.218,2293.000,358.500,60.400,33.204,18.435,1.819,66.414,1.064,2300,355,8,4.151,7.994
36,2652,195.649,0.871,1,2440,2499,346,404,2471.199,372.982,2471.199,372.982,31.496,28.148,44.648,1.119,2784,0.953,67.676,34.160,2468.874,375.400,59.829,57.834,86.269,1.035,66.814,0.987,2467,370,25,1.336,31.458
37,830,107.182,0.908,1,2114,2150,352,386,2130.995,369.034,2130.995,369.034,18.912,14.278,-33.706,1.325,857,0.968,39.000,157.380,2130.500,369.000,37.477,28.991,135.000,1.293,37.814,0.970,2132,367,13,1.454,21.194
38,667,103.159,0.788,1,1898,1931,353,387,1915.191,368.590,1915.191,368.590,20.815,10.393,48.896,2.003,693,0.962,42.521,48.814,1915.030,367.439,42.436,21.218,52.431,2.000,42.214,0.993,1914,366,10,2.111,16.028
39,1060,132.847,0.755,1,2174,2223,354,385,2198.692,370.264,2198.692,370.264,25.440,13.510,-18.741,1.883,1136,0.933,54.120,152.488,2198.518,371.743,53.923,29.462,157.380,1.830,53.414,0.987,2204,367,13,2.054,17.921
40,9917,379.405,0.866,1,2547,2655,364,489,2597.951,430.119,2597.951,430.119,61.736,53.116,-86.507,1.162,10258,0.967,130.292,107.879,2599.918,425.717,124.421,107.432,87.955,1.158,129.614,0.995,2599,429,47,1.379,61.940
41,2116,180.749,0.814,1,249,303,367,430,278.214,401.716,278.214,401.716,29.579,24.004,62.638,1.232,2287,0.925,65.521,74.055,278.427,403.159,60.752,48.570,51.340,1.251,66.814,1.020,277,401,21,1.591,27.031
42,888,122.906,0.739,1,1608,1641,378,419,1625.676,397.740,1625.676,397.740,19.881,14.950,57.497,1.330,963,0.922,44.011,68.682,1626.524,395.368,42.817,31.180,55.305,1.373,42.214,0.959,1627,396,14,1.508,14.032
43,1106,130.300,0.819,1,695,734,383,430,712.914,406.145,712.914,406.145,22.653,16.681,61.639,1.358,1173,0.943,49.041,69.717,714.728,403.978,48.833,34.752,64.440,1.405,50.014,1.020,714,407,15,1.667,21.650
44,396,79.256,0.792,1,1960,1983,385,412,1971.263,397.851,1971.263,397.851,15.875,8.140,51.429,1.950,416,0.952,34.059,49.764,1972.500,398.500,33.941,18.385,45.000,1.846,34.014,0.999,1970,396,9,1.890,11.444
45,31283,729.162,0.739,1,1257,1427,386,669,1332.030,520.853,1332.030,520.853,139.696,72.632,-75.733,1.923,32889,0.951,285.049,106.718,1322.433,528.181,284.848,151.898,109.041,1.875,289.614,1.016,1334,495,71,2.040,88.808
46,40394,782.332,0.829,1,2278,2549,390,604,2410.390,482.844,2410.390,482.844,132.268,100.072,-0.493,1.322,41819,0.966,272.107,171.334,2409.756,499.258,270.042,213.297,6.520,1.266,277.414,1.020,2399,486,94,1.476,111.784
47,8682,351.328,0.884,1,403,500,391,515,453.479,453.446,453.479,453.446,59.708,46.826,-86.068,1.275,9023,0.962,125.160,97.806,451.490,453.176,124.784,96.480,93.366,1.293,127.814,1.021,453,449,46,1.389,69.435
48,1346,139.781,0.866,1,1269,1307,393,445,1287.868,418.822,1287.868,418.822,27.031,15.931,-61.050,1.697,1388,0.970,56.859,113.860,1288.434,418.262,55.846,33.394,124.695,1.672,56.814,0.999,1287,427,19,1.495,26.444
49,622,98.122,0.812,1,2241,2271,395,424,2256.211,411.029,2256.211,411.029,15.792,12.849,28.130,1.229,662,0.940,32.802,37.569,2256.656,412.287,32.521,28.808,50.194,1.129,32.814,1.000,2254,410,12,1.367,14.471
50,16752,589.056,0.607,1,2022,2178,396,557,2091.978,477.194,2091.978,477.194,93.117,63.002,58.998,1.478,19904,0.842,197.649,48.487,2096.624,478.837,173.830,144.441,80.256,1.203,197.014,0.997,2103,482,70,1.407,46.789
51,33593,676.031,0.924,1,734,936,402,624,833.344,508.672,833.344,508.672,114.694,94.174,56.364,1.218,34307,0.979,239.708,54.851,825.820,502.516,233.923,192.311,39.806,1.216,239.614,1.000,839,517,90,1.331,152.948
52,30249,808.917,0.581,1,1682,1893,402,620,1789.269,505.760,1789.269,505.760,115.263,86.347,67.654,1.335,34158,0.886,234.267,51.760,1793.514,504.160,227.746,183.948,72.575,1.238,227.414,0.971,1787,494,76,1.496,71.955
53,956,122.581,0.800,1,573,607,403,447,588.691,426.493,588.691,426.493,24.581,12.588,58.554,1.953,992,0.964,49.649,55.670,588.480,427.140,49.600,25.800,53.130,1.922,49.414,0.995,584,420,12,2.059,17.684
54,3590,276.094,0.592,1,1917,1990,403,498,1954.281,458.360,1954.281,458.360,44.755,30.937,76.586,1.447,4287,0.837,97.801,73.974,1947.500,455.000,97.714,64.827,71.565,1.507,98.414,1.006,1948,458,25,1.968,29.141
55,615,92.989,0.894,1,1596,1623,405,436,1609.376,422.199,1609.376,422.199,15.893,12.601,58.047,1.261,640,0.961,34.000,61.928,1608.967,423.139,32.905,26.376,39.806,1.248,33.814,0.995,1608,422,12,1.409,18.098
56,8316,345.656,0.875,1,2809,2912,408,514,2864.677,462.138,2864.677,462.138,61.965,43.802,-48.668,1.415,8498,0.979,132.382,137.755,2869.361,464.670,125.876,92.664,115.201,1.358,131.814,0.996,2869,459,43,1.533,52.935
57,12896,434.511,0.858,1,2131,2274,415,549,2203.924,475.995,2203.924,475.995,69.788,60.021,-8.461,1.163,13492,0.956,145.000,170.473,2203.188,474.557,139.714,123.906,137.726,1.128,148.014,1.021,2211,472,56,1.322,68.524
58,717,98.582,0.927,1,1985,2013,423,458,1998.688,440.249,1998.688,440.249,16.804,13.678,86.445,1.229,743,0.965,35.735,72.072,1999.000,440.500,35.000,28.000,90.000,1.250,36.414,1.019,1998,438,13,1.401,17.879
59,933,111.625,0.941,1,619,656,425,458,638.203,440.680,638.203,440.680,19.801,15.163,27.203,1.306,961,0.971,40.000,53.130,638.399,439.830,39.147,30.749,28.301,1.273,39.414,0.985,635,440,16,1.232,23.476
60,108,39.073,0.889,1,1630,1645,430,440,1637.213,435.333,1637.213,435.333,7.329,4.772,4.533,1.536,113,0.956,15.297,11.310,1637.500,435.000,15.000,10.000,0.000,1.500,15.814,1.034,1636,435,5,1.581,7.296
61,1672,200.877,0.521,1,201,228,435,528,211.328,478.585,211.328,478.585,43.808,13.476,-88.380,3.251,1725,0.969,93.086,87.537,214.500,481.500,93.000,27.000,90.000,3.444,94.014,1.010,213,468,13,3.616,14.570
62,14073,466.570,0.812,1,538,651,438,604,595.184,524.156,595.184,524.156,82.809,54.920,-88.131,1.508,14886,0.945,167.287,78.623,593.573,519.392,167.084,108.749,83.480,1.536,170.814,1.021,597,530,53,1.611,69.117
63,5624,313.001,0.721,1,644,710,439,570,678.706,504.865,678.706,504.865,60.045,30.862,-89.048,1.946,5919,0.950,131.061,88.251,677.000,504.500,131.000,66.000,90.000,1.985,131.814,1.006,674,514,33,1.997,40.454
64,21848,598.425,0.767,2,1012,1198,439,639,1102.227,548.610,1102.227,548.610,102.251,75.014,59.804,1.363,23234,0.940,207.849,73.222,1089.707,556.386,206.161,158.168,62.734,1.303,198.214,0.954,1091,549,63,1.573,86.866
65,1450,157.956,0.730,1,1639,1679,443,496,1662.046,471.703,1662.046,471.703,26.377,19.018,-87.101,1.387,1587,0.914,55.714,111.038,1658.729,470.335,53.446,39.447,85.764,1.355,54.414,0.977,1660,467,15,1.814,20.276
66,5022,279.331,0.809,1,318,421,448,521,371.814,488.285,371.814,488.285,49.927,33.653,-5.481,1.484,5340,0.940,103.238,3.888,369.903,483.320,103.237,72.325,3.731,1.427,103.814,1.006,375,485,31,1.674,47.111
67,1049,129.054,0.791,1,1550,1581,451,503,1564.699,478.341,1564.699,478.341,24.612,13.938,-79.672,1.766,1098,0.955,52.469,97.667,1565.698,478.371,50.553,29.413,113.199,1.719,53.614,1.022,1566,475,14,1.915,19.256
68,1935,185.462,0.707,1,1588,1648,452,515,1618.436,480.835,1618.436,480.835,39.151,16.653,47.083,2.351,2113,0.916,73.878,39.508,1620.500,481.500,73.539,35.355,45.000,2.080,73.214,0.991,1607,469,17,2.153,24.561
69,12702,465.443,0.737,1,215,326,455,642,272.854,541.607,272.854,541.607,89.960,46.677,82.326,1.927,13601,0.934,187.771,84.806,273.135,547.133,184.173,100.135,73.571,1.839,190.614,1.015,264,516,43,2.216,65.176
