filename,native_um_px,scale_factor,out_w,out_h,n_cells,seconds,status
BV3LU01-01-1.png,2.271,1.0000,3168,2448,1438,149,ok
BV3LU01-01-2.png,2.271,1.0000,3168,2448,1521,112,ok
BV3LU01-01-3.png,2.271,1.0000,3168,2448,1922,109,ok
BV3LU01-01-4.png,2.271,1.0000,3168,2448,1364,108,ok
BV3LU01-01-5.png,2.271,1.0000,3168,2448,1533,111,ok
BV3LU01-02-1.png,2.271,1.0000,3168,2448,1709,108,ok
BV3LU01-02-2.png,2.271,1.0000,3168,2448,1901,108,ok
BV3LU01-02-3.png,2.271,1.0000,3168,2448,1078,114,ok
BV3LU01-02-4.png,2.271,1.0000,3168,2448,1013,112,ok
BV3LU01-02-5.png,2.271,1.0000,3168,2448,1598,116,ok
BV3LU02-01-1.png,2.271,1.0000,3168,2448,921,117,ok
BV3LU02-01-2.png,2.271,1.0000,3168,2448,504,120,ok
BV3LU02-01-3.png,2.271,1.0000,3168,2448,1211,109,ok
BV3LU02-01-4.png,2.271,1.0000,3168,2448,1457,109,ok
BV3LU02-01-5.png,2.271,1.0000,3168,2448,971,115,ok
BV3LU02-02-1.png,2.271,1.0000,3168,2448,1135,117,ok
BV3LU02-02-2.png,2.271,1.0000,3168,2448,1732,106,ok
BV3LU02-02-3.png,2.271,1.0000,3168,2448,887,116,ok
BV3LU02-02-4.png,2.271,1.0000,3168,2448,1797,107,ok
BV3LU02-02-5.png,2.271,1.0000,3168,2448,1360,107,ok
BV3LU03-01-1.png,2.271,1.0000,3168,2448,581,120,ok
BV3LU03-01-2.png,2.271,1.0000,3168,2448,678,119,ok
BV3LU03-01-3.png,2.271,1.0000,3168,2448,988,115,ok
BV3LU03-01-4.png,2.271,1.0000,3168,2448,776,119,ok
BV3LU03-01-5.png,2.271,1.0000,3168,2448,1048,120,ok
BV3LU03-02-1.png,2.271,1.0000,3168,2448,353,106,ok
BV3LU03-02-2.png,2.271,1.0000,3168,2448,260,121,ok
BV3LU03-02-3.png,2.271,1.0000,3168,2448,426,117,ok
