filename,n_grains,median_ecd_count_mm,meanw_ecd_area_mm,count_Medplus_pct,count_Fine_pct,count_VFine_pct,count_Silt_pct,area_Medplus_pct,area_Fine_pct,area_VFine_pct,area_Silt_pct
BV3LU01-01-1_2271_cp_masks.png,1373,0.0876,0.1608,0.7,20.2,56.4,22.7,6.9,46.1,42.1,4.9
BV3LU01-01-2_2271_cp_masks.png,1450,0.0868,0.1647,0.8,16.4,60.5,22.3,7.9,39.2,47.6,5.2
BV3LU01-01-3_2271_cp_masks.png,1848,0.0778,0.1303,0.3,9.6,60.4,29.8,3.4,27.7,59.7,9.1
BV3LU01-01-4_2271_cp_masks.png,1316,0.0867,0.1559,0.7,20.1,54.2,25.1,5.9,47.4,41.1,5.5
BV3LU01-01-5_2271_cp_masks.png,1468,0.0823,0.158,0.5,13.6,59.3,26.5,6.6,35.6,51.1,6.8
BV3LU01-02-1_2271_cp_masks.png,1639,0.0803,0.1574,0.6,13.5,56.5,29.4,7.0,37.1,48.1,7.7
BV3LU01-02-2_2271_cp_masks.png,1813,0.0767,0.155,0.7,10.5,55.9,32.8,8.0,32.2,50.9,8.9
BV3LU01-02-3_2271_cp_masks.png,1016,0.0884,0.262,3.7,20.7,49.4,26.2,32.5,36.6,27.1,3.8
BV3LU01-02-4_2271_cp_masks.png,964,0.0918,0.2541,3.7,21.5,54.7,20.1,31.1,36.9,28.8,3.2
BV3LU01-02-5_2271_cp_masks.png,1531,0.0735,0.2767,2.2,7.9,57.0,32.9,33.8,18.9,39.9,7.4
BV3LU02-01-1_2271_cp_masks.png,873,0.0785,0.3098,8.6,22.5,29.3,39.6,52.0,33.2,11.2,3.6
BV3LU02-01-2_2271_cp_masks.png,473,0.1059,0.3972,17.8,22.0,45.9,14.4,73.7,16.1,9.4,0.9
BV3LU02-01-3_2271_cp_masks.png,1137,0.0882,0.2015,3.1,24.4,44.6,28.0,20.6,48.8,26.6,4.0
BV3LU02-01-4_2271_cp_masks.png,1388,0.0775,0.1978,2.2,15.0,47.5,35.4,20.7,36.9,35.6,6.8
BV3LU02-01-5_2271_cp_masks.png,920,0.0917,0.2807,7.2,21.0,46.1,25.8,44.8,31.8,20.5,2.9
BV3LU02-02-1_2271_cp_masks.png,1092,0.0889,0.2952,5.0,17.1,54.5,23.4,42.0,27.8,26.9,3.3
BV3LU02-02-2_2271_cp_masks.png,1657,0.0844,0.136,0.4,16.0,59.3,24.3,3.2,40.4,50.7,5.7
BV3LU02-02-3_2271_cp_masks.png,829,0.0966,0.2835,7.0,26.1,49.1,17.9,42.1,35.7,20.1,2.1
BV3LU02-02-4_2271_cp_masks.png,1704,0.0801,0.1453,0.4,18.5,46.4,34.7,3.0,49.4,40.3,7.2
BV3LU02-02-5_2271_cp_masks.png,1281,0.0905,0.1658,1.2,22.4,54.3,22.1,7.8,51.2,36.8,4.2
BV3LU03-01-1_2271_cp_masks.png,526,0.1161,0.3389,14.6,30.8,39.5,15.0,59.8,28.3,10.6,1.2
BV3LU03-01-2_2271_cp_masks.png,633,0.1056,0.3189,13.7,28.0,37.1,21.2,58.1,30.0,10.2,1.8
BV3LU03-01-3_2271_cp_masks.png,915,0.0767,0.2702,5.0,19.8,36.2,39.0,37.9,37.7,19.0,5.4
BV3LU03-01-4_2271_cp_masks.png,713,0.1091,0.2821,12.1,31.0,36.9,20.1,47.8,38.9,11.6,1.8
BV3LU03-01-5_2271_cp_masks.png,975,0.0723,0.3169,6.1,11.9,42.9,39.2,51.7,21.6,21.2,5.5
BV3LU03-02-1_2271_cp_masks.png,305,0.0867,0.3746,9.2,23.9,30.5,36.4,58.2,29.0,9.8,2.9
BV3LU03-02-2_2271_cp_masks.png,227,0.1412,0.4027,20.7,39.2,33.0,7.0,66.2,27.3,6.1,0.4
BV3LU03-02-3_2271_cp_masks.png,387,0.1027,0.3682,17.6,24.8,29.2,28.4,69.6,22.0,6.8,1.5
BV3LU03-02-4_2271_cp_masks.png,386,0.117,0.331,13.0,33.9,39.6,13.5,54.6,33.1,11.2,1.0
